model_type,metric,mean_correlation,std_correlation,min_correlation,max_correlation
base,cosine,-0.9234659872404198,0.0339913742352609,-0.9782497217801469,-0.8842586467216376
base,angular,-0.928500487461719,0.03488403380655704,-0.9641681919345585,-0.8567969817566305
base,custom,-0.9226053200155175,0.04190124386370649,-0.9566231568831391,-0.8374514689213656
base,cubic,-0.9120351730631348,0.04539815476264282,-0.9560743691676569,-0.8212683366371357
base,exp,-0.9202276348392048,0.03181756153441149,-0.9654794813228155,-0.8600652908237683
adapter,cosine,-0.8510278050156401,0.08475338844220072,-0.9576204455759267,-0.7187722618122914
adapter,angular,-0.8428022961082419,0.09943602332171471,-0.9708627122241593,-0.696239839788031
adapter,custom,-0.8338077318461936,0.10390714888016539,-0.9677602334048843,-0.6843970380417507
adapter,cubic,-0.8222107022724802,0.10849855280487383,-0.9704343032404754,-0.6739899530827584
adapter,exp,-0.8354082368747094,0.09917734290054825,-0.9695170257518319,-0.6919919169201433
