starting_layer,layers_to_prune,similarity,metric
0,1,0.6111838221549988,cosine
0,1,0.5713785886764526,angular
0,1,0.37644875049591064,custom
0,1,0.5583407282829285,cubic
0,1,0.37489375472068787,exp
0,2,0.5954008102416992,cosine
0,2,0.5611087083816528,angular
0,2,0.36391890048980713,custom
0,2,0.5494369268417358,cubic
0,2,0.35838115215301514,exp
0,3,0.5620256662368774,cosine
0,3,0.5395887494087219,angular
0,3,0.3382037281990051,custom
0,3,0.5314900875091553,cubic
0,3,0.3251335024833679,exp
0,4,0.5670976638793945,cosine
0,4,0.5428450107574463,angular
0,4,0.342046856880188,custom
0,4,0.5341529846191406,cubic
0,4,0.33004429936408997,exp
0,5,0.5318024158477783,cosine
0,5,0.5202597379684448,angular
0,5,0.3157503008842468,custom
0,5,0.5159655213356018,cubic
0,5,0.2968818247318268,exp
0,6,0.5320361852645874,cosine
0,6,0.5204088687896729,angular
0,6,0.31592118740081787,custom
0,6,0.516083836555481,cubic
0,6,0.29709377884864807,exp
0,7,0.52850341796875,cosine
0,7,0.5181556940078735,angular
0,7,0.31334394216537476,custom
0,7,0.5142980217933655,cubic
0,7,0.29390019178390503,exp
0,8,0.528916597366333,cosine
0,8,0.5184192061424255,angular
0,8,0.3136448860168457,custom
0,8,0.5145066380500793,cubic
0,8,0.2942725718021393,exp
0,9,0.5285331606864929,cosine
0,9,0.5181746482849121,angular
0,9,0.3133655786514282,custom
0,9,0.5143130421638489,cubic
0,9,0.2939269542694092,exp
0,10,0.5284168720245361,cosine
0,10,0.5181005001068115,angular
0,10,0.3132808804512024,custom
0,10,0.5142543315887451,cubic
0,10,0.29382216930389404,exp
0,11,0.528847336769104,cosine
0,11,0.5183749794960022,angular
0,11,0.31359434127807617,custom
0,11,0.514471709728241,cubic
0,11,0.2942100763320923,exp
0,12,0.5290141105651855,cosine
0,12,0.5184813737869263,angular
0,12,0.3137158751487732,custom
0,12,0.5145559310913086,cubic
0,12,0.2943603992462158,exp
0,13,0.5274930000305176,cosine
0,13,0.5175114870071411,angular
0,13,0.31260859966278076,custom
0,13,0.5137880444526672,cubic
0,13,0.29299089312553406,exp
0,14,0.5268152356147766,cosine
0,14,0.5170793533325195,angular
0,14,0.31211572885513306,custom
0,14,0.5134462118148804,cubic
0,14,0.29238197207450867,exp
0,15,0.5260774493217468,cosine
0,15,0.5166089534759521,angular
0,15,0.3115796446800232,custom
0,15,0.5130742192268372,cubic
0,15,0.29172009229660034,exp
0,16,0.5257760286331177,cosine
0,16,0.5164167881011963,angular
0,16,0.31136077642440796,custom
0,16,0.5129222869873047,cubic
0,16,0.2914499044418335,exp
0,17,0.524881899356842,cosine
0,17,0.515846848487854,angular
0,17,0.31071192026138306,custom
0,17,0.5124717950820923,cubic
0,17,0.29064956307411194,exp
0,18,0.5245411992073059,cosine
0,18,0.5156297087669373,angular
0,18,0.3104647994041443,custom
0,18,0.5123001337051392,cubic
0,18,0.2903449535369873,exp
0,19,0.524940013885498,cosine
0,19,0.5158839225769043,angular
0,19,0.31075406074523926,custom
0,19,0.512501060962677,cubic
0,19,0.2907015085220337,exp
0,20,0.5228856801986694,cosine
0,20,0.5145745277404785,angular
0,20,0.3092653751373291,custom
0,20,0.5114668011665344,cubic
0,20,0.2888677716255188,exp
0,21,0.523566484451294,cosine
0,21,0.5150084495544434,angular
0,21,0.30975836515426636,custom
0,21,0.5118094086647034,cubic
0,21,0.28947463631629944,exp
0,22,0.5233820080757141,cosine
0,22,0.5148909091949463,angular
0,22,0.30962473154067993,custom
0,22,0.5117166042327881,cubic
0,22,0.28931012749671936,exp
0,23,0.5228219628334045,cosine
0,23,0.5145339965820312,angular
0,23,0.30921924114227295,custom
0,23,0.5114347338676453,cubic
0,23,0.288811057806015,exp
0,24,0.5224111080169678,cosine
0,24,0.5142720937728882,angular
0,24,0.3089219331741333,custom
0,24,0.511228084564209,cubic
0,24,0.28844529390335083,exp
0,25,0.5221735835075378,cosine
0,25,0.5141208171844482,angular
0,25,0.30875009298324585,custom
0,25,0.5111086368560791,cubic
0,25,0.2882339358329773,exp
0,26,0.5218085050582886,cosine
0,26,0.5138881206512451,angular
0,26,0.30848610401153564,custom
0,26,0.5109249949455261,cubic
0,26,0.28790929913520813,exp
0,27,0.5207617282867432,cosine
0,27,0.5132211446762085,angular
0,27,0.3077296018600464,custom
0,27,0.5103987455368042,cubic
0,27,0.28697988390922546,exp
0,28,0.5204734802246094,cosine
0,28,0.5130374431610107,angular
0,28,0.3075214624404907,custom
0,28,0.51025390625,cubic
0,28,0.2867242395877838,exp
0,29,0.5214397311210632,cosine
0,29,0.5136531591415405,angular
0,29,0.3082194924354553,custom
0,29,0.5107396245002747,cubic
0,29,0.2875817120075226,exp
0,30,0.5217524170875549,cosine
0,30,0.5138524174690247,angular
0,30,0.3084455728530884,custom
0,30,0.5108968019485474,cubic
0,30,0.2878594994544983,exp
0,31,0.5222657918930054,cosine
0,31,0.5141795873641968,angular
0,31,0.3088168501853943,custom
0,31,0.5111549496650696,cubic
0,31,0.288316011428833,exp
0,32,0.52309650182724,cosine
0,32,0.514708936214447,angular
0,32,0.3094180226325989,custom
0,32,0.5115728974342346,cubic
0,32,0.28905564546585083,exp
0,33,0.5228094458580017,cosine
0,33,0.5145260095596313,angular
0,33,0.3092101812362671,custom
0,33,0.5114284157752991,cubic
0,33,0.288799911737442,exp
0,34,0.5225521922111511,cosine
0,34,0.514362096786499,angular
0,34,0.30902403593063354,custom
0,34,0.5112990736961365,cubic
0,34,0.2885708808898926,exp
0,35,0.521923840045929,cosine
0,35,0.5139616131782532,angular
0,35,0.3085694909095764,custom
0,35,0.5109829902648926,cubic
0,35,0.2880118489265442,exp
0,36,0.5218707919120789,cosine
0,36,0.5139278173446655,angular
0,36,0.30853116512298584,custom
0,36,0.510956346988678,cubic
0,36,0.28796473145484924,exp
0,37,0.5217346549034119,cosine
0,37,0.5138411521911621,angular
0,37,0.3084326982498169,custom
0,37,0.5108879208564758,cubic
0,37,0.2878437042236328,exp
0,38,0.5214347243309021,cosine
0,38,0.5136499404907227,angular
0,38,0.308215856552124,custom
0,38,0.5107370018959045,cubic
0,38,0.28757724165916443,exp
0,39,0.5205259919166565,cosine
0,39,0.5130709409713745,angular
0,39,0.30755937099456787,custom
0,39,0.5102802515029907,cubic
0,39,0.2867708206176758,exp
0,40,0.5207787156105042,cosine
0,40,0.5132319927215576,angular
0,40,0.3077418804168701,custom
0,40,0.5104073286056519,cubic
0,40,0.28699493408203125,exp
0,41,0.5195799469947815,cosine
0,41,0.5124682188034058,angular
0,41,0.30687659978866577,custom
0,41,0.5098050236701965,cubic
0,41,0.28593289852142334,exp
0,42,0.5196838974952698,cosine
0,42,0.5125343799591064,angular
0,42,0.3069515824317932,custom
0,42,0.5098572373390198,cubic
0,42,0.28602489829063416,exp
0,43,0.518871009349823,cosine
0,43,0.5120165348052979,angular
0,43,0.30636537075042725,custom
0,43,0.5094488859176636,cubic
0,43,0.28530600666999817,exp
0,44,0.514570415019989,cosine
0,44,0.5092771053314209,angular
0,44,0.3032722473144531,custom
0,44,0.5072913765907288,cubic
0,44,0.28152209520339966,exp
0,45,0.5112619996070862,cosine
0,45,0.5071702003479004,angular
0,45,0.30090200901031494,custom
0,45,0.5056338310241699,cubic
0,45,0.27863314747810364,exp
0,46,0.5131044387817383,cosine
0,46,0.508343517780304,angular
0,46,0.30222100019454956,custom
0,46,0.5065567493438721,cubic
0,46,0.28023961186408997,exp
0,47,0.5063706636428833,cosine
0,47,0.5040557980537415,angular
0,47,0.2974123954772949,custom
0,47,0.5031858682632446,cubic
0,47,0.27439698576927185,exp
0,48,0.5111570358276367,cosine
0,48,0.5071033835411072,angular
0,48,0.3008269667625427,custom
0,48,0.5055813193321228,cubic
0,48,0.2785418629646301,exp
1,1,0.907122790813446,cosine
1,1,0.8028490543365479,angular
1,1,0.6952424049377441,custom
1,1,0.8385217785835266,cubic
1,1,0.8039443492889404,exp
1,2,0.8206734657287598,cosine
1,2,0.7216240167617798,angular
1,2,0.5765303373336792,custom
1,2,0.7262873649597168,cubic
1,2,0.6514448523521423,exp
1,3,0.7826430201530457,cosine
1,3,0.6912342309951782,angular
1,3,0.5337843894958496,custom
1,3,0.6864805817604065,cubic
1,3,0.5922695398330688,exp
1,4,0.5500150918960571,cosine
1,4,0.5318939685821533,angular
1,4,0.32919085025787354,custom
1,4,0.5252577662467957,cubic
1,4,0.3137015700340271,exp
1,5,0.5524966716766357,cosine
1,5,0.5334821939468384,angular
1,5,0.3310431241989136,custom
1,5,0.5265377163887024,cubic
1,5,0.31604111194610596,exp
1,6,0.5474822521209717,cosine
1,6,0.5302737951278687,angular
1,6,0.3273056149482727,custom
1,6,0.523955225944519,cubic
1,6,0.31132563948631287,exp
1,7,0.5457929968833923,cosine
1,7,0.529193639755249,angular
1,7,0.32605117559432983,custom
1,7,0.5230885148048401,cubic
1,7,0.3097476363182068,exp
1,8,0.544863760471344,cosine
1,8,0.5285996198654175,angular
1,8,0.3253621459007263,custom
1,8,0.5226125121116638,cubic
1,8,0.30888187885284424,exp
1,9,0.5465921759605408,cosine
1,9,0.5297045707702637,angular
1,9,0.3266443610191345,custom
1,9,0.5234984159469604,cubic
1,9,0.31049349904060364,exp
1,10,0.5431913137435913,cosine
1,10,0.5275307893753052,angular
